Index,"Region, development group, country or area of destination",Notes of destination,Location code of destination,Type of data of destination,"Region, development group, country or area of origin",Location code of origin,1990,1995,2000,2005,2010,2015,2020
13221,   Slovakia,,703,B, Upper-middle-income countries,1502, 1 793, 4 183, 7 410, 8 690, 9 317, 11 659, 14 117
13222,   Slovakia,,703,B, Lower-middle-income countries,1501, 2 946, 5 127, 8 771, 10 121, 10 994, 13 704, 15 825
13223,   Slovakia,,703,B,  Low-income countries,1500,82,271,595,805,495,740,836
13224,   Slovakia,,703,B, AFRICA,903,67,308,653,740,828, 1 258, 1 531
13225,   Slovakia,,703,B,  Eastern Africa,910,6,17,35,40,45,149,173
13226,   Slovakia,,703,B,  Middle Africa,911,20,60,121,137,154,209,206
13227,   Slovakia,,703,B,  Northern Africa,912,33,163,346,392,438,586,763
13228,   Slovakia,,703,B,  Southern Africa,913,6,33,70,79,88,122,159
13229,   Slovakia,,703,B,  Western Africa,914,2,35,81,92,103,192,230
13230,   Slovakia,,703,B, ASIA,935,565, 2 293, 4 428, 5 787, 5 258, 6 743, 8 151
13231,   Slovakia,,703,B,  Central Asia,5500,32,101,202,228,255,340,408
13232,   Slovakia,,703,B,  Eastern Asia,906,66,535, 1 156, 1 298, 1 454, 1 825, 2 103
13233,   Slovakia,,703,B,  South-Eastern Asia,920,242,746, 1 457, 1 633, 1 833, 2 338, 2 654
13234,   Slovakia,,703,B,  Southern Asia,5501,46,393,598, 1 220,434,573,736
13235,   Slovakia,,703,B,  Western Asia,922,179,518, 1 015, 1 408, 1 282, 1 667, 2 250
13236,   Slovakia,,703,B, EUROPE,908, 40 141, 65 495, 108 803, 121 326, 136 773, 165 743, 182 652
13237,   Slovakia,,703,B,  Eastern Europe,923, 38 271, 56 457, 90 082, 100 317, 113 222, 135 480, 140 702
13238,   Slovakia,,703,B,  Northern Europe,924,73, 2 158, 4 849, 5 444, 6 102, 8 257, 13 221
13239,   Slovakia,,703,B,  Southern Europe,925,672, 2 688, 5 455, 6 124, 6 864, 8 731, 11 806
13240,   Slovakia,,703,B,  Western Europe,926, 1 125, 4 192, 8 417, 9 441, 10 585, 13 275, 16 923
13241,   Slovakia,,703,B, LATIN AMERICA AND THE CARIBBEAN,904,61,186,371,421,471,756,977
13242,   Slovakia,,703,B,  Caribbean,915,23,49,90,101,113,189,213
13243,   Slovakia,,703,B,  Central America,916,3,24,53,60,67,139,212
13244,   Slovakia,,703,B,  South America,931,35,113,228,260,291,428,552
13245,   Slovakia,,703,B, NORTHERN AMERICA,905,330,887, 1 690, 1 897, 2 127, 2 664, 3 261
13246,   Slovakia,,703,B, OCEANIA ,909,19,95,198,223,250,349,492
13247,   Slovakia,,703,B,  Australia and New Zealand,927,19,95,198,223,250,331,482
13248,   Slovakia,,703,B,  Melanesia,928,..,..,..,..,..,7,4
13249,   Slovakia,,703,B,  Micronesia,954,..,..,..,..,..,8,6
13250,   Slovakia,,703,B,  Polynesia*,957,..,..,..,..,..,3,..
13251,   Slovakia,,703,B,   Afghanistan,4,26,125,315,488,139,155,194
13252,   Slovakia,,703,B,   Albania,8,6,29,60,68,76,99,133
13253,   Slovakia,,703,B,   Algeria,12,8,32,66,75,84,105,125
13254,   Slovakia,,703,B,   Andorra,20,..,..,..,..,..,1,..
13255,   Slovakia,,703,B,   Angola,24,11,11,16,18,20,25,25
13256,   Slovakia,,703,B,   Argentina,32,20,32,54,61,68,83,90
13257,   Slovakia,,703,B,   Armenia,51,37,57,94,306,118,148,169
13258,   Slovakia,,703,B,   Aruba*,533,..,..,..,..,..,1,1
13259,   Slovakia,,703,B,   Australia*,36,18,85,176,198,222,288,419
13260,   Slovakia,,703,B,   Austria,40,281, 1 033, 2 070, 2 322, 2 604, 3 361, 4 722
13261,   Slovakia,,703,B,   Azerbaijan*,31,4,11,23,26,29,37,56
13262,   Slovakia,,703,B,   Bahrain,48,..,..,..,..,..,14,14
13263,   Slovakia,,703,B,   Bangladesh,50,..,..,..,..,..,18,21
13264,   Slovakia,,703,B,   Barbados,52,..,..,..,..,..,1,1
13265,   Slovakia,,703,B,   Belarus,112,60,87,140,158,177,223,262
13266,   Slovakia,,703,B,   Belgium,56,62,259,529,594,666,828, 1 029
13267,   Slovakia,,703,B,   Belize,84,..,..,..,..,..,2,2
13268,   Slovakia,,703,B,   Benin,204,..,..,..,..,..,9,10
13269,   Slovakia,,703,B,   Bolivia (Plurinational State of),68,..,..,..,..,..,15,16
13270,   Slovakia,,703,B,   Bosnia and Herzegovina,70,47,133,257,289,324,394,463
13271,   Slovakia,,703,B,   Botswana,72,..,..,..,..,..,4,2
13272,   Slovakia,,703,B,   Brazil,76,4,30,66,75,84,114,171
13273,   Slovakia,,703,B,   British Virgin Islands*,92,..,..,..,..,..,1,1
13274,   Slovakia,,703,B,   Bulgaria,100,362,790, 1 437, 1 612, 1 808, 2 193, 2 596
13275,   Slovakia,,703,B,   Burkina Faso,854,..,..,..,..,..,3,1
13276,   Slovakia,,703,B,   Burundi,108,..,..,..,..,..,5,4
13277,   Slovakia,,703,B,   Cambodia,116,..,..,..,..,..,8,10
13278,   Slovakia,,703,B,   Cameroon,120,..,..,..,..,..,10,15
13279,   Slovakia,,703,B,   Canada,124,40,144,288,324,363,480,613
13280,   Slovakia,,703,B,   Cayman Islands*,136,..,..,..,..,..,2,1
13281,   Slovakia,,703,B,   Central African Republic,140,..,..,..,..,..,2,1
13282,   Slovakia,,703,B,   Chad,148,8,43,91,103,116,139,133
13283,   Slovakia,,703,B,   Chile,152,2,8,17,20,22,28,32
13284,   Slovakia,,703,B,   China*,156,49,320,681,764,856, 1 074, 1 256
13285,   Slovakia,,703,B,   Colombia,170,3,16,34,39,44,56,69
13286,   Slovakia,,703,B,   Congo,178,1,6,14,16,18,23,23
13287,   Slovakia,,703,B,   Costa Rica,188,..,..,..,..,..,12,16
13288,   Slovakia,,703,B,   C?te d'Ivoire,384,..,..,..,..,..,9,9
13289,   Slovakia,,703,B,   Croatia,191,95,273,527,592,664,850, 1 242
13290,   Slovakia,,703,B,   Cuba,192,23,49,90,101,113,137,153
13291,   Slovakia,,703,B,   Cyprus*,196,4,32,69,78,87,120,171
13292,   Slovakia,,703,B,   Czechia,203, 26 268, 37 407, 58 709, 65 367, 73 744, 87 989, 89 560
13293,   Slovakia,,703,B,   Dem. People's Republic of Korea,408,..,..,..,..,..,16,14
13294,   Slovakia,,703,B,   Democratic Republic of the Congo,180,..,..,..,..,..,8,8
13295,   Slovakia,,703,B,   Denmark*,208,6,72,158,178,199,260,326
13296,   Slovakia,,703,B,   Dominica,212,..,..,..,..,..,3,2
13297,   Slovakia,,703,B,   Dominican Republic,214,..,..,..,..,..,18,26
13298,   Slovakia,,703,B,   Ecuador,218,1,10,22,25,28,36,48
13299,   Slovakia,,703,B,   Egypt,818,9,55,118,133,149,195,260
13300,   Slovakia,,703,B,   El Salvador,222,..,..,..,..,..,2,1
13301,   Slovakia,,703,B,   Estonia,233,3,15,33,38,42,55,69
13302,   Slovakia,,703,B,   Eswatini,748,..,..,..,..,..,1,..
13303,   Slovakia,,703,B,   Ethiopia,231,5,10,19,22,25,31,39
13304,   Slovakia,,703,B,   Faroe Islands*,234,..,..,..,..,..,1,..
13305,   Slovakia,,703,B,   Finland*,246,4,44,98,111,124,154,208
13306,   Slovakia,,703,B,   France*,250,484, 1 071, 1 952, 2 189, 2 454, 2 938, 3 043
13307,   Slovakia,,703,B,   French Polynesia*,258,..,..,..,..,..,1,..
13308,   Slovakia,,703,B,   Gambia,270,..,..,..,..,..,3,4
13309,   Slovakia,,703,B,   Georgia*,268,11,27,51,120,65,78,93
13310,   Slovakia,,703,B,   Germany,276,255, 1 460, 3 067, 3 439, 3 856, 4 817, 6 202
13311,   Slovakia,,703,B,   Ghana,288,1,5,12,14,16,19,27
13312,   Slovakia,,703,B,   Greece,300,9,119,262,294,330,431,649
13313,   Slovakia,,703,B,   Greenland*,304,..,..,..,..,..,3,2
13314,   Slovakia,,703,B,   Grenada,308,..,..,..,..,..,2,1
13315,   Slovakia,,703,B,   Guatemala,320,..,..,..,..,..,3,5
13316,   Slovakia,,703,B,   Guinea,324,..,..,..,..,..,6,6
13317,   Slovakia,,703,B,   Guinea-Bissau,624,..,..,..,..,..,2,1
13318,   Slovakia,,703,B,   Haiti,332,..,..,..,..,..,2,4
13319,   Slovakia,,703,B,   Holy See*,336,..,..,..,..,..,3,2
13320,   Slovakia,,703,B,   Honduras,340,..,..,..,..,..,2,4
13321,   Slovakia,,703,B,   Hungary,348, 6 010, 7 707, 11 565, 12 768, 14 561, 17 058, 16 291
13322,   Slovakia,,703,B,   Iceland,352,..,13,30,34,38,63,97
13323,   Slovakia,,703,B,   India,356,7,45,97,401,122,155,194
13324,   Slovakia,,703,B,   Indonesia,360,..,7,17,20,22,35,50
13325,   Slovakia,,703,B,   Iran (Islamic Republic of),364,11,198,93,206,104,130,168
13326,   Slovakia,,703,B,   Iraq,368,10,25,49,55,62,79,215
13327,   Slovakia,,703,B,   Ireland,372,1,233,530,595,667,914, 1 494
13328,   Slovakia,,703,B,   Isle of Man*,833,..,..,..,..,..,3,3
13329,   Slovakia,,703,B,   Israel,376,15,58,118,133,149,192,242
13330,   Slovakia,,703,B,   Italy,380,41,793, 1 764, 1 978, 2 217, 2 841, 3 918
13331,   Slovakia,,703,B,   Jamaica,388,..,..,..,..,..,14,15
13332,   Slovakia,,703,B,   Japan,392,6,41,88,99,111,137,158
13333,   Slovakia,,703,B,   Jordan,400,9,19,36,41,46,57,68
13334,   Slovakia,,703,B,   Kazakhstan,398,21,78,158,178,199,246,290
13335,   Slovakia,,703,B,   Kenya,404,1,7,16,18,20,25,28
13336,   Slovakia,,703,B,   Kiribati,296,..,..,..,..,..,7,6
13337,   Slovakia,,703,B,   Kuwait,414,10,25,47,53,59,75,91
13338,   Slovakia,,703,B,   Kyrgyzstan,417,3,7,15,17,19,25,33
13339,   Slovakia,,703,B,   Lao People's Democratic Republic,418,..,..,..,..,..,6,5
13340,   Slovakia,,703,B,   Latvia,428,5,40,88,99,111,144,199
13341,   Slovakia,,703,B,   Lebanon,422,14,36,68,77,86,111,157
13342,   Slovakia,,703,B,   Lesotho,426,..,..,..,..,..,4,3
13343,   Slovakia,,703,B,   Liberia,430,..,..,..,..,..,3,2
13344,   Slovakia,,703,B,   Libya,434,7,18,35,40,45,59,87
13345,   Slovakia,,703,B,   Liechtenstein,438,..,..,..,..,..,7,7
13346,   Slovakia,,703,B,   Lithuania,440,9,42,87,98,110,142,199
13347,   Slovakia,,703,B,   Luxembourg,442,14,20,32,36,40,57,90
13348,   Slovakia,,703,B,   Madagascar,450,..,..,..,..,..,18,18
13349,   Slovakia,,703,B,   Malawi,454,..,..,..,..,..,6,6
13350,   Slovakia,,703,B,   Malaysia*,458,..,..,..,..,..,18,23
13351,   Slovakia,,703,B,   Maldives,462,..,..,..,..,..,1,1
13352,   Slovakia,,703,B,   Malta,470,1,6,14,16,18,27,45
13353,   Slovakia,,703,B,   Mauritius*,480,..,..,..,..,..,11,23
13354,   Slovakia,,703,B,   Mexico,484,3,24,53,60,67,93,158
13355,   Slovakia,,703,B,   Micronesia (Fed. States of),583,..,..,..,..,..,1,..
13356,   Slovakia,,703,B,   Monaco,492,..,..,..,..,..,5,5
13357,   Slovakia,,703,B,   Mongolia,496,11,22,41,47,52,64,66
13358,   Slovakia,,703,B,   Montenegro,499,10,14,24,28,31,39,41
13359,   Slovakia,,703,B,   Morocco,504,3,15,33,38,42,55,73
13360,   Slovakia,,703,B,   Mozambique,508,..,..,..,..,..,4,3
13361,   Slovakia,,703,B,   Myanmar,104,..,..,..,..,..,4,3
13362,   Slovakia,,703,B,   Namibia,516,..,..,..,..,..,1,..
13363,   Slovakia,,703,B,   Nepal,524,..,..,..,..,..,9,12
13364,   Slovakia,,703,B,   Netherlands*,528,11,163,360,404,453,585,780
13365,   Slovakia,,703,B,   New Zealand*,554,1,10,22,25,28,43,63
13366,   Slovakia,,703,B,   Nicaragua,558,..,..,..,..,..,11,12
13367,   Slovakia,,703,B,   Niger,562,..,..,..,..,..,6,5
13368,   Slovakia,,703,B,   Nigeria,566,1,30,69,78,87,111,143
13369,   Slovakia,,703,B,   North Macedonia,807,54,231,473,531,595,760,883
13370,   Slovakia,,703,B,   Norway*,578,3,197,447,502,563,750, 1 097
13371,   Slovakia,,703,B,   Oman,512,..,..,..,..,..,3,4
13372,   Slovakia,,703,B,   Pakistan,586,2,25,93,125,69,90,122
13373,   Slovakia,,703,B,   Panama,591,..,..,..,..,..,14,14
13374,   Slovakia,,703,B,   Papua New Guinea,598,..,..,..,..,..,3,2
13375,   Slovakia,,703,B,   Paraguay,600,..,..,..,..,..,6,7
13376,   Slovakia,,703,B,   Peru,604,5,17,35,40,45,59,76
13377,   Slovakia,,703,B,   Philippines,608,..,8,19,22,24,34,63
13378,   Slovakia,,703,B,   Poland,616, 1 207, 2 476, 4 425, 4 962, 5 564, 6 721, 7 367
13379,   Slovakia,,703,B,   Portugal,620,1,46,104,117,131,172,283
13380,   Slovakia,,703,B,   Qatar,634,..,..,..,..,..,2,6
13381,   Slovakia,,703,B,   Republic of Korea,410,..,152,346,388,435,534,609
13382,   Slovakia,,703,B,   Republic of Moldova*,498,8,35,73,82,92,125,183
13383,   Slovakia,,703,B,   Romania,642, 1 115, 2 843, 5 353, 6 003, 6 731, 8 299, 9 763
13384,   Slovakia,,703,B,   Russian Federation,643,622, 1 073, 1 819, 2 040, 2 287, 2 780, 3 098
13385,   Slovakia,,703,B,   Rwanda,646,..,..,..,..,..,2,1
13386,   Slovakia,,703,B,   Saint Helena*,654,..,..,..,..,..,1,..
13387,   Slovakia,,703,B,   Saint Kitts and Nevis,659,..,..,..,..,..,1,..
13388,   Slovakia,,703,B,   Saint Lucia,662,..,..,..,..,..,1,..
13389,   Slovakia,,703,B,   Samoa,882,..,..,..,..,..,1,..
13390,   Slovakia,,703,B,   San Marino,674,..,..,..,..,..,1,..
13391,   Slovakia,,703,B,   Sao Tome and Principe,678,..,..,..,..,..,2,1
13392,   Slovakia,,703,B,   Saudi Arabia,682,2,10,22,25,28,39,48
13393,   Slovakia,,703,B,   Senegal,686,..,..,..,..,..,15,19
13394,   Slovakia,,703,B,   Serbia*,688,383,709, 1 230, 1 380, 1 547, 1 917, 2 463
13395,   Slovakia,,703,B,   Seychelles,690,..,..,..,..,..,7,6
13396,   Slovakia,,703,B,   Sierra Leone,694,..,..,..,..,..,2,1
13397,   Slovakia,,703,B,   Singapore,702,..,..,..,..,..,17,20
13398,   Slovakia,,703,B,   Slovenia,705,15,95,203,228,255,311,380
13399,   Slovakia,,703,B,   Solomon Islands,90,..,..,..,..,..,3,2
13400,   Slovakia,,703,B,   Somalia,706,..,..,..,..,..,14,17
13401,   Slovakia,,703,B,   South Africa,710,6,33,70,79,88,112,154
13402,   Slovakia,,703,B,   Spain*,724,10,240,537,603,676,885, 1 304
13403,   Slovakia,,703,B,   Sri Lanka,144,..,..,..,..,..,15,24
13404,   Slovakia,,703,B,   State of Palestine*,275,6,13,24,27,30,44,54
13405,   Slovakia,,703,B,   Sudan,729,..,..,..,..,..,19,18
13406,   Slovakia,,703,B,   Sweden,752,8,76,167,188,211,270,342
13407,   Slovakia,,703,B,   Switzerland,756,18,186,407,457,512,677, 1 045
13408,   Slovakia,,703,B,   Syrian Arab Republic,760,37,81,148,167,187,237,289
13409,   Slovakia,,703,B,   Tajikistan,762,..,..,..,..,..,12,13
13410,   Slovakia,,703,B,   Thailand,764,1,18,40,45,50,71,107
13411,   Slovakia,,703,B,   Togo,768,..,..,..,..,..,3,2
13412,   Slovakia,,703,B,   Trinidad and Tobago,780,..,..,..,..,..,6,8
13413,   Slovakia,,703,B,   Tunisia,788,6,43,94,106,118,153,200
13414,   Slovakia,,703,B,   Turkey,792,10,92,201,226,253,322,405
13415,   Slovakia,,703,B,   Turkmenistan,795,..,..,..,..,..,11,13
13416,   Slovakia,,703,B,   Tuvalu,798,..,..,..,..,..,1,..
13417,   Slovakia,,703,B,   Uganda,800,..,..,..,..,..,8,11
13418,   Slovakia,,703,B,   Ukraine*,804, 2 619, 4 039, 6 561, 7 325, 8 258, 10 092, 11 582
13419,   Slovakia,,703,B,   United Arab Emirates,784,4,20,43,49,55,75,127
13420,   Slovakia,,703,B,   United Kingdom*,826,34, 1 426, 3 211, 3 601, 4 037, 5 501, 9 187
13421,   Slovakia,,703,B,   United Republic of Tanzania*,834,..,..,..,..,..,1,..
13422,   Slovakia,,703,B,   United States of America*,840,290,743, 1 402, 1 573, 1 764, 2 181, 2 646
13423,   Slovakia,,703,B,   Uruguay,858,..,..,..,..,..,12,18
13424,   Slovakia,,703,B,   Uzbekistan,860,8,16,29,33,37,46,59
13425,   Slovakia,,703,B,   Vanuatu,548,..,..,..,..,..,1,..
13426,   Slovakia,,703,B,   Venezuela (Bolivarian Republic of),862,..,..,..,..,..,19,25
13427,   Slovakia,,703,B,   Viet Nam,704,241,713, 1 381, 1 546, 1 737, 2 145, 2 373
13428,   Slovakia,,703,B,   Yemen,887,6,12,22,25,28,34,41
13429,   Slovakia,,703,B,   Zambia,894,..,..,..,..,..,11,11
13430,   Slovakia,,703,B,   Zimbabwe,716,..,..,..,..,..,6,6
13431,   Slovakia,,703,B,Other,2003,112,59,233,97,612,111,97
13432,   Ukraine*,,804,B,WORLD,900,6 892 920,6 172 338,5 527 087,5 050 302,4 818 767,4 915 142,4 997 387
13433,   Ukraine*,,804,B,  Sub-Saharan Africa,947,..,..,..,..,..,..,..
13434,   Ukraine*,,804,B,  Northern Africa and Western Asia,1833, 214 444, 226 765, 241 867, 220 997, 210 860, 211 560, 215 085
13435,   Ukraine*,,804,B,  Central and Southern Asia,921, 576 051, 586 712, 604 544, 552 390, 527 560, 531 521, 540 404
13436,   Ukraine*,,804,B,  Eastern and South-Eastern Asia,1832, 22 888, 22 142, 21 668, 19 797, 18 888, 18 950, 19 264
13437,   Ukraine*,,804,B,  Latin America and the Caribbean,1830,..,..,..,..,..,..,..
13438,   Ukraine*,,804,B,  Oceania (excluding Australia and New Zealand),1835,..,..,..,..,..,..,..
13439,   Ukraine*,,804,B,  Australia and New Zealand,927,..,..,..,..,..,..,..
13440,   Ukraine*,,804,B,  Europe and Northern America,1829,5 668 055,4 938 626,4 269 480,3 901 176,3 722 333,3 733 805,3 796 283
13441,   Ukraine*,,804,B,  Developed regions,901,5 668 055,4 938 626,4 269 480,3 901 176,3 722 333,3 733 805,3 796 283
13442,   Ukraine*,,804,B,  Less developed regions,902, 813 383, 835 619, 868 079, 793 184, 757 308, 762 031, 774 753
13443,   Ukraine*,,804,B," Less developed regions, excluding least developed countries",934, 810 831, 833 151, 865 663, 790 977, 754 703, 757 219, 769 862
13444,   Ukraine*,,804,B," Less developed regions, excluding China",948, 805 459, 827 953, 860 577, 786 330, 750 769, 755 471, 768 085
13445,   Ukraine*,,804,B,  Least developed countries,941, 2 552, 2 468, 2 416, 2 207, 2 605, 4 812, 4 891
13446,   Ukraine*,,804,B,  Land-locked Developing Countries (LLDC),1636, 865 514, 885 888, 917 087, 837 972, 800 048, 804 920, 818 375
13447,   Ukraine*,,804,B,  Small island developing States (SIDS),1637,..,..,..,..,..,..,..
13448,   Ukraine*,,804,B,  High-income countries,1503, 68 918, 71 059, 74 074, 67 680, 64 574, 64 788, 65 860
13449,   Ukraine*,,804,B,  Middle-income countries,1517,6 370 613,5 662 362,5 023 240,4 589 909,4 379 484,4 393 149,4 466 647
13450,   Ukraine*,,804,B, Upper-middle-income countries,1502,5 997 782,5 240 885,4 547 964,4 155 635,3 965 124,3 977 405,4 043 955
13451,   Ukraine*,,804,B, Lower-middle-income countries,1501, 372 831, 421 477, 475 276, 434 274, 414 360, 415 744, 422 692
13452,   Ukraine*,,804,B,  Low-income countries,1500, 41 907, 40 824, 40 245, 36 771, 35 583, 37 899, 38 529
13453,   Ukraine*,,804,B, AFRICA,903, 2 100, 2 031, 1 988, 1 816, 1 732, 1 737, 1 765
13454,   Ukraine*,,804,B,  Eastern Africa,910,..,..,..,..,..,..,..
13455,   Ukraine*,,804,B,  Middle Africa,911,..,..,..,..,..,..,..
13456,   Ukraine*,,804,B,  Northern Africa,912, 2 100, 2 031, 1 988, 1 816, 1 732, 1 737, 1 765
13457,   Ukraine*,,804,B,  Southern Africa,913,..,..,..,..,..,..,..
13458,   Ukraine*,,804,B,  Western Africa,914,..,..,..,..,..,..,..
13459,   Ukraine*,,804,B, ASIA,935, 811 283, 833 588, 866 091, 791 368, 755 576, 760 294, 772 988
13460,   Ukraine*,,804,B,  Central Asia,5500, 566 310, 577 289, 595 321, 543 964, 519 022, 520 757, 529 464
13461,   Ukraine*,,804,B,  Eastern Asia,906, 7 924, 7 666, 7 502, 6 854, 6 539, 6 560, 6 668
13462,   Ukraine*,,804,B,  South-Eastern Asia,920, 14 964, 14 476, 14 166, 12 943, 12 349, 12 390, 12 596
13463,   Ukraine*,,804,B,  Southern Asia,5501, 9 741, 9 423, 9 223, 8 426, 8 538, 10 764, 10 940
13464,   Ukraine*,,804,B,  Western Asia,922, 212 344, 224 734, 239 879, 219 181, 209 128, 209 823, 213 320
13465,   Ukraine*,,804,B, EUROPE,908,5 664 747,4 935 426,4 266 348,3 898 315,3 719 604,3 731 067,3 793 501
13466,   Ukraine*,,804,B,  Eastern Europe,923,5 607 387,4 875 548,4 203 217,3 840 632,3 664 567,3 675 847,3 737 364
13467,   Ukraine*,,804,B,  Northern Europe,924, 56 052, 58 613, 61 892, 56 551, 53 957, 54 137, 55 038
13468,   Ukraine*,,804,B,  Southern Europe,925,..,..,..,..,..,..,..
13469,   Ukraine*,,804,B,  Western Europe,926, 1 308, 1 265, 1 239, 1 132, 1 080, 1 083, 1 099
13470,   Ukraine*,,804,B, LATIN AMERICA AND THE CARIBBEAN,904,..,..,..,..,..,..,..
13471,   Ukraine*,,804,B,  Caribbean,915,..,..,..,..,..,..,..
13472,   Ukraine*,,804,B,  Central America,916,..,..,..,..,..,..,..
13473,   Ukraine*,,804,B,  South America,931,..,..,..,..,..,..,..
13474,   Ukraine*,,804,B, NORTHERN AMERICA,905, 3 308, 3 200, 3 132, 2 861, 2 729, 2 738, 2 782
13475,   Ukraine*,,804,B, OCEANIA ,909,..,..,..,..,..,..,..
13476,   Ukraine*,,804,B,  Australia and New Zealand,927,..,..,..,..,..,..,..
13477,   Ukraine*,,804,B,  Melanesia,928,..,..,..,..,..,..,..
13478,   Ukraine*,,804,B,  Micronesia,954,..,..,..,..,..,..,..
13479,   Ukraine*,,804,B,  Polynesia*,957,..,..,..,..,..,..,..
13480,   Ukraine*,,804,B,   Afghanistan,4, 2 552, 2 468, 2 416, 2 207, 2 605, 4 812, 4 891
13481,   Ukraine*,,804,B,   Azerbaijan*,31, 81 482, 87 250, 94 083, 85 967, 82 025, 82 299, 83 674
13482,   Ukraine*,,804,B,   Armenia,51, 35 141, 44 340, 54 082, 49 416, 47 150, 47 307, 48 097
13483,   Ukraine*,,804,B,   Bulgaria,100, 2 094, 2 026, 1 983, 1 811, 1 727, 1 732, 1 760
13484,   Ukraine*,,804,B,   Belarus,112, 403 448, 339 992, 280 687, 256 474, 244 715, 245 534, 249 641
13485,   Ukraine*,,804,B,   China*,156, 7 924, 7 666, 7 502, 6 854, 6 539, 6 560, 6 668
13486,   Ukraine*,,804,B,   Estonia,233, 10 585, 11 068, 11 687, 10 678, 10 188, 10 222, 10 392
13487,   Ukraine*,,804,B,   Georgia*,268, 76 612, 74 660, 73 621, 67 270, 64 185, 64 399, 65 475
13488,   Ukraine*,,804,B,   State of Palestine*,275, 1 828, 1 768, 1 731, 1 581, 1 508, 1 513, 1 537
13489,   Ukraine*,,804,B,   Germany,276, 1 308, 1 265, 1 239, 1 132, 1 080, 1 083, 1 099
13490,   Ukraine*,,804,B,   India,356, 4 609, 4 459, 4 364, 3 987, 3 804, 3 816, 3 879
13491,   Ukraine*,,804,B,   Iran (Islamic Republic of),364, 2 580, 2 496, 2 443, 2 232, 2 129, 2 136, 2 170
13492,   Ukraine*,,804,B,   Israel,376, 4 532, 4 384, 4 291, 3 920, 3 740, 3 752, 3 813
13493,   Ukraine*,,804,B,   Kazakhstan,398, 330 947, 290 731, 254 065, 232 148, 221 504, 222 245, 225 962
13494,   Ukraine*,,804,B,   Jordan,400, 4 486, 4 340, 4 247, 3 880, 3 702, 3 714, 3 775
13495,   Ukraine*,,804,B,   Kyrgyzstan,417, 37 304, 33 724, 30 557, 27 921, 26 640, 26 729, 27 175
13496,   Ukraine*,,804,B,   Lebanon,422, 2 132, 2 062, 2 019, 1 844, 1 759, 1 764, 1 792
13497,   Ukraine*,,804,B,   Latvia,428, 20 185, 21 108, 22 289, 20 366, 19 432, 19 497, 19 821
13498,   Ukraine*,,804,B,   Lithuania,440, 25 282, 26 437, 27 916, 25 507, 24 337, 24 418, 24 825
13499,   Ukraine*,,804,B,   Republic of Moldova*,498, 180 029, 174 541, 171 185, 156 418, 149 246, 149 745, 152 249
13500,   Ukraine*,,804,B,   Morocco,504, 2 100, 2 031, 1 988, 1 816, 1 732, 1 737, 1 765
13501,   Ukraine*,,804,B,   Poland,616, 3 718, 3 597, 3 520, 3 216, 3 068, 3 078, 3 128
13502,   Ukraine*,,804,B,   Russian Federation,643,5 018 098,4 355 392,3 745 842,3 422 713,3 265 811,3 275 758,3 330 586
13503,   Ukraine*,,804,B,   Viet Nam,704, 14 964, 14 476, 14 166, 12 943, 12 349, 12 390, 12 596
13504,   Ukraine*,,804,B,   Syrian Arab Republic,760, 4 494, 4 347, 4 255, 3 887, 3 708, 3 720, 3 781
13505,   Ukraine*,,804,B,   Tajikistan,762, 34 861, 34 009, 33 574, 30 677, 29 270, 29 367, 29 857
13506,   Ukraine*,,804,B,   Turkey,792, 1 637, 1 583, 1 550, 1 416, 1 351, 1 355, 1 376
13507,   Ukraine*,,804,B,   Turkmenistan,795, 31 201, 28 347, 25 840, 23 610, 22 527, 22 602, 22 979
13508,   Ukraine*,,804,B,   United States of America*,840, 3 308, 3 200, 3 132, 2 861, 2 729, 2 738, 2 782
13509,   Ukraine*,,804,B,   Uzbekistan,860, 131 997, 190 478, 251 285, 229 608, 219 081, 219 814, 223 491
13510,   Ukraine*,,804,B,Other,2003, 411 482, 398 093, 389 528, 355 942, 339 126, 419 306, 426 351
13511,  Northern Europe,,924,,WORLD,900,6 645 605,7 194 824,7 900 973,9 588 814,11 294 937,13 191 086,14 973 861
13512,  Northern Europe,,924,,  Sub-Saharan Africa,947, 481 746, 648 720, 829 519,1 064 189,1 367 005,1 574 603,1 829 908
13513,  Northern Europe,,924,,  Northern Africa and Western Asia,1833, 369 243, 460 498, 550 757, 696 475, 803 159,1 026 032,1 281 913
13514,  Northern Europe,,924,,  Central and Southern Asia,921, 955 864,1 087 913,1 241 249,1 565 012,1 896 303,2 247 701,2 398 039
13515,  Northern Europe,,924,,  Eastern and South-Eastern Asia,1832, 350 174, 474 594, 602 490, 742 560, 870 281,1 050 012,1 185 220
13516,  Northern Europe,,924,,  Latin America and the Caribbean,1830, 290 476, 349 688, 410 637, 457 405, 493 859, 541 580, 589 887
13517,  Northern Europe,,924,,  Oceania (excluding Australia and New Zealand),1835,948, 3 371, 5 867, 7 026, 7 465, 8 905, 9 968
13518,  Northern Europe,,924,,  Australia and New Zealand,927, 118 861, 144 645, 173 869, 180 841, 202 489, 220 728, 246 328
13519,  Northern Europe,,924,,  Europe and Northern America,1829,3 967 820,3 860 460,3 875 128,4 668 255,5 436 415,6 311 494,7 206 366
13520,  Northern Europe,,924,,  Developed regions,901,4 118 305,4 041 679,4 091 041,4 890 252,5 682 859,6 583 974,7 511 623
